clause_id,source_document,clause_text,suggested_cat,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
airbnb_tpa_001,airbnb_tos.txt,"We may record, review, monitor, disable access to, remove, or edit text or in-app messages, phone recordings, or other Content to operate, secure and improve the Airbnb Platform including for fraud prevention, risk assessment, investigation and customer support purposes.",third_party_access,MEDIUM,tracking_profiling,MEDIUM,"This clause is tracking_profiling because Airbnb may record, review, monitor, and analyze messages, phone recordings, and other content for fraud prevention, risk assessment, and investigations. The risk is MEDIUM because it involves intrusive monitoring of user communications, even though the stated purpose is safety and platform integrity.",0.85,"record, review, monitor; fraud prevention; risk assessment; investigation"
airbnb_tpa_002,airbnb_tos.txt,"Airbnb may take any action it determines is reasonably necessary to comply with applicable law, or the order or request of a court, law enforcement, or other administrative agency or governmental body.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because Airbnb may take actions necessary to comply with requests or orders from courts, law enforcement, and government bodies. The risk is HIGH because user information can be disclosed to outside authorities based on legal or administrative demands.",0.85,"court, law enforcement; administrative agency; governmental body"
airbnb_tpa_003,airbnb_tos.txt,"If you work with a co-host or host as part of a team, business, or other organization, you are responsible and liable as a Host under these Terms for the acts and omissions of each entity and individual who participates in providing your Host Services.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because it contemplates co-hosts, team members, and organizations participating in a host account and acting through the platform. The risk is MEDIUM because additional individuals or entities may gain operational access through shared hosting arrangements, increasing the chance of broader exposure.",0.85,co-host; team; organization; each entity and individual
doordash_tpa_001,doordash_tos.txt,"Third-party services integrated with the DoorDash platform, including payment processors and mapping services, may collect information about you and your device independently. We are not responsible for the privacy or security practices of these third parties.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because integrated third-party services like payment processors and mapping providers may independently collect information about the user and device. The risk is MEDIUM because outside services can gather data under their own privacy practices, but the collection is tied to the functionality of the platform.",0.85,third-party services; payment processors; collect information independently; not responsible
doordash_tpa_002,doordash_tos.txt,"DoorDash may provide your personal information, including your name, address, and order history, to government agencies, regulators, and law enforcement in response to legal requests, subpoenas, or when required by law.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because DoorDash may provide personal information to government agencies, regulators, and law enforcement in response to subpoenas or legal requirements. The risk is HIGH because sensitive identifying and order-related data may be disclosed to external authorities.",0.85,government agencies; regulators; law enforcement; subpoenas
tiktok_tpa_001,tiktok_tos.txt,"Third-party services that you link to your TikTok account may receive information about your activity on TikTok. When you use a third-party service to sign in, that service may collect your profile information and content interactions.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because linked third-party services may receive information about a user's TikTok activity, profile, and contacts. The risk is MEDIUM because the sharing happens through external integrations, but it is usually connected to the user's choice to link or use those services.",0.85,third-party services; link to your account; collect your profile information
tiktok_tpa_002,tiktok_tos.txt,"We may provide information about you to government authorities, law enforcement officials, and private parties as we believe necessary to respond to claims and legal process, to protect the rights and property of TikTok, and to protect public safety.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because TikTok may provide information to government authorities, law enforcement, and private parties when it believes doing so is necessary. The risk is HIGH because the disclosure is broad and can extend beyond formal court orders to other claims or protective purposes.",0.85,government authorities; law enforcement; private parties; as we believe necessary
x_tpa_001,x_twitter_tos.txt,"Third-party applications and websites that integrate with the X API may access your public profile information, posts, and other data you have made available. These third parties have their own privacy policies and practices.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because third-party applications and websites using the X API may access profile information, posts, and other data the user has made available. The risk is MEDIUM because external apps gain access under their own policies, even if much of the data is public or user-enabled.",0.85,third-party applications; X API; access your public profile; their own privacy policies
x_tpa_002,x_twitter_tos.txt,"We may preserve, access, and disclose your account information and Content if we believe doing so is reasonably necessary to comply with a law, regulation, legal process, or governmental request, or to detect, prevent, or otherwise address fraud, security, or technical issues.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because X may preserve, access, and disclose account information and content when it believes doing so is reasonably necessary for legal compliance or platform protection. The risk is HIGH because it gives the platform broad discretion to disclose user data to outside authorities or in response to legal process.",0.85,"preserve, access, and disclose; governmental request; if we believe reasonably necessary"
coinbase_tpa_001,coinbase_tos.txt,"Third-party identity verification services may receive and process your government-issued identification, facial imagery, and personal information to verify your identity in accordance with applicable laws and financial regulations.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because third-party identity verification providers may receive government IDs, facial imagery, and other personal information. The risk is HIGH because it involves highly sensitive identity data being processed by outside vendors.",0.85,identity verification services; government-issued identification; facial imagery
coinbase_tpa_002,coinbase_tos.txt,"We may grant financial regulators, banking partners, and compliance auditors access to your account data and transaction history when required by applicable financial regulations or upon request from regulatory authorities.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because Coinbase may give regulators, banking partners, and compliance auditors access to account data and transaction history. The risk is HIGH because financial records are highly sensitive and the clause allows external review of detailed account activity.",0.85,financial regulators; banking partners; access to account data; transaction history
disney_tpa_001,disney_plus_tos.txt,"We allow certain business partners, advertising companies, and social media companies to collect information about your activity on our services using cookies, pixels, and similar technologies. These third parties may use this information to show you ads on other platforms.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because Disney allows business partners, advertisers, and social media companies to collect activity data using cookies, pixels, and similar technologies. The risk is HIGH because outside companies can observe user behavior and use it for cross-platform advertising and targeting.",0.85,business partners; advertising companies; collect information; show you ads on other platforms
disney_tpa_002,disney_plus_tos.txt,"If you sign in using a third-party service such as Apple, Google, or Facebook, we may receive profile information from that service including your name, email address, and profile picture.",third_party_access,LOW,third_party_access,LOW,"This clause is third_party_access because Disney may receive profile information from a third-party sign-in provider such as Apple, Google, or Facebook. The risk is LOW because the transfer is limited to sign-in information and generally occurs when the user chooses that login method.",0.85,sign in using third-party service; profile information
airbnb_dr_001,airbnb_tos.txt,"Parts of these Terms that by their nature survive termination, will survive termination of this agreement, including Sections 1 through 28.",data_retention,MEDIUM,none,NONE,"This clause is none because it describes which sections of the contract survive termination, not how personal data is stored, shared, or accessed. The risk is NONE within this annotation framework because it is a legal survival clause rather than a privacy or access practice.",0.85,survive termination; Sections 1 through 28
airbnb_dr_002,airbnb_tos.txt,"When this agreement has been terminated, you are not entitled to a restoration of your account or any of your Content. If your access to or use of the Airbnb Platform has been limited, or your Airbnb account has been suspended, you may not register a new account.",data_retention,MEDIUM,none,NONE,"This clause is none because it explains that terminated users may not regain their account or content and may be prevented from re-registering. The risk is NONE within this label set because it is an account enforcement rule, not a clause about data retention, sharing, or third-party access.",0.85,not entitled to restoration; Content; suspended; may not register new account
airbnb_dr_003,airbnb_tos.txt,"If your account has been inactive for more than two years, we may terminate your account without prior notice.",data_retention,LOW,none,NONE,This clause is none because it states that Airbnb may terminate an account after two years of inactivity. The risk is NONE within this framework because it is an account lifecycle rule rather than a data-handling or legal-rights clause captured by the available categories.,0.85,inactive for more than two years; terminate without notice
doordash_dr_001,doordash_tos.txt,"We retain your personal information for as long as you maintain an account with us and for a reasonable period thereafter to fulfill the purposes described in our Privacy Policy, comply with our legal obligations, resolve disputes, and enforce our agreements.",data_retention,MEDIUM,data_retention,MEDIUM,"This clause is data_retention because DoorDash says it keeps personal information for the life of the account and for a reasonable period afterward. The risk is MEDIUM because the retention is open-ended enough to allow continued storage after use of the service ends, even though legal and operational reasons are provided.",0.85,retain for as long as; reasonable period thereafter; legal obligations
doordash_dr_002,doordash_tos.txt,"If your account is deactivated or suspended for violation of our Terms, we may retain your account information and identifiers used to create the account to prevent you from creating new accounts or re-obtaining access to the platform.",data_retention,HIGH,data_retention,HIGH,This clause is data_retention because DoorDash may keep account information and identifiers after suspension or deactivation in order to block future accounts. The risk is HIGH because the information is retained specifically for enforcement and may persist even after the user can no longer use the service.,0.85,deactivated or suspended; retain account information; prevent creating new accounts
doordash_dr_003,doordash_tos.txt,"DoorDash reserves the right to adjust or withhold all or a portion of payment owed to you if DoorDash reasonably believes that you have defrauded or abused, or attempted to defraud or abuse, the platform.",data_retention,MEDIUM,none,NONE,"This clause is none because it concerns DoorDash's right to adjust or withhold payments when it suspects fraud or abuse. The risk is NONE within this annotation scheme because it is a payments and enforcement clause rather than a data-retention, sharing, or access practice.",0.85,withhold payment; reasonably believes; defrauded or abused
tiktok_dr_001,tiktok_tos.txt,"We retain your information for as long as it is necessary to provide you with our services. Where we do not need your information in order to provide the service to you, we retain it only for so long as we have a legitimate business purpose in keeping such data.",data_retention,MEDIUM,data_retention,MEDIUM,This clause is data_retention because TikTok says it retains information as long as needed to provide services and as long as there is another legitimate business purpose. The risk is MEDIUM because the standard is flexible and allows continued retention beyond strictly necessary service delivery.,0.85,retain for as long as necessary; legitimate business purpose
tiktok_dr_002,tiktok_tos.txt,"After you delete your account, your profile, videos, and other content will no longer be visible on TikTok. However, copies of your content may remain in our backup systems for a limited period, and content that has been shared with or copied by other users may continue to appear on the platform.",data_retention,HIGH,data_retention,HIGH,This clause is data_retention because TikTok states that copies of content may remain in backup systems after account deletion and that content shared by others may continue to appear. The risk is HIGH because deletion does not fully eliminate stored or accessible content.,0.85,copies may remain in backup systems; content shared by other users; continue to appear
tiktok_dr_003,tiktok_tos.txt,"We may retain certain information about you even after account deletion where required by law, for legitimate business interests such as fraud prevention, or to enforce our terms. Information that has been used to train or improve our algorithms may persist in derivative form even after deletion of the source data.",data_retention,HIGH,data_retention,HIGH,"This clause is data_retention because TikTok may keep information after account deletion for legal reasons, fraud prevention, enforcement, and algorithm training in derivative form. The risk is HIGH because the clause explicitly permits continued retention and downstream use even after the user deletes the account.",0.85,retain after account deletion; fraud prevention; train algorithms; persist in derivative form
x_dr_001,x_twitter_tos.txt,"When you delete your account, your public profile is no longer visible on X. However, it may take up to 30 days for your content to be removed from our systems, and some information may be retained in our backup systems or logs for a limited additional period.",data_retention,MEDIUM,data_retention,MEDIUM,"This clause is data_retention because X says account content may take up to 30 days to be removed and some information may remain in backup systems for longer. The risk is MEDIUM because deletion is delayed and not immediate, but the company does at least describe a finite removal window for much of the data.",0.85,up to 30 days; retained in backup systems; limited additional period
x_dr_002,x_twitter_tos.txt,"Content that has been shared, reposted, or indexed by third parties or search engines may remain accessible even after deletion from your account. We have no control over content stored or cached by third parties.",data_retention,HIGH,third_party_access,HIGH,"This clause is third_party_access because it states that content shared, reposted, or indexed by third parties or search engines may remain accessible after deletion. The risk is HIGH because user content can continue to be stored or surfaced by outside entities beyond X's control.",0.85,"shared, reposted, indexed by third parties; remain accessible; no control over cached content"
x_dr_003,x_twitter_tos.txt,"We may retain your data for an extended period to comply with legal obligations, enforce our terms, resolve disputes, and maintain the safety and security of the platform and its users.",data_retention,MEDIUM,data_retention,MEDIUM,"This clause is data_retention because X may keep user data for an extended period to satisfy legal obligations, enforce terms, resolve disputes, and maintain safety. The risk is MEDIUM because the clause authorizes prolonged storage under broad operational and legal justifications.",0.85,retain for extended period; legal obligations; enforce our terms; safety and security
coinbase_dr_001,coinbase_tos.txt,"Due to regulatory requirements applicable to financial services, we are required to retain your personal information, transaction records, and account data for a minimum of five years after account closure, and in some cases longer as required by anti-money laundering and tax regulations.",data_retention,HIGH,data_retention,HIGH,"This clause is data_retention because Coinbase must retain personal information, transaction records, and account data for at least five years after account closure. The risk is HIGH because the retention period is long, mandatory, and applies to highly sensitive financial data.",0.85,minimum of five years; anti-money laundering; tax regulations; account closure
coinbase_dr_002,coinbase_tos.txt,"If your account is suspended or closed due to suspected fraudulent activity, we may retain all account data indefinitely to assist in any ongoing or future investigations by law enforcement or regulatory authorities.",data_retention,HIGH,data_retention,HIGH,This clause is data_retention because Coinbase may retain all account data indefinitely when it suspects fraudulent activity. The risk is HIGH because indefinite retention of complete account records creates a long-term privacy exposure.,0.85,retain indefinitely; suspected fraudulent activity; law enforcement; regulatory authorities
disney_dr_001,disney_plus_tos.txt,"We retain your personal information for as long as we have a relationship with you. After our relationship ends, we retain your information for as long as necessary to comply with our legal and regulatory obligations, resolve disputes, enforce our agreements, and for our legitimate business purposes.",data_retention,MEDIUM,data_retention,MEDIUM,This clause is data_retention because Disney retains personal information for the duration of the customer relationship and afterward for legal and legitimate business purposes. The risk is MEDIUM because the retention continues after the relationship ends under broad justifications.,0.85,retain as long as relationship; legal and regulatory obligations; legitimate business purposes
disney_dr_002,disney_plus_tos.txt,"Your viewing history, preferences, and profile data may be retained to improve our recommendations and content offerings, even after you cancel your subscription, unless you specifically request deletion.",data_retention,HIGH,data_retention,HIGH,"This clause is data_retention because Disney may keep viewing history, preferences, and profile data after cancellation to improve recommendations unless the user separately requests deletion. The risk is HIGH because behavior-based data continues to be stored and used after the subscription ends.",0.85,viewing history retained; after you cancel; unless you specifically request deletion
disney_dr_003,disney_plus_tos.txt,Content you have purchased or downloaded may become unavailable after termination of your account. Apple and Disney have no obligation to continue making content available to you and will not be liable if purchased content becomes unavailable for download or streaming.,data_retention,MEDIUM,liability_limitation,MEDIUM,This clause is liability_limitation because it says purchased or downloaded content may become unavailable after termination and disclaims any obligation or liability for continued access. The risk is MEDIUM because it limits the user's remedy if previously acquired content disappears.,0.85,content unavailable after termination; no obligation; purchased content
